Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Atlanta BeltLine Corridor under Ralph David Abernathy Blvd,33.739007,-84.433123,Trail
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Hammond House Museum,33.74124073312512,-84.42093662287472,Art Museum
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Yasin's Homestyle Seafood,33.738194316233326,-84.42303581282673,Seafood Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Johnny M's Pizza Bistro,33.75459880227053,-84.41715745793665,Pizza Place
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Westview Cemetery,33.747015461499025,-84.44804662972923,Cemetery
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Q-Time Restaurant,33.73809580614483,-84.42437911958231,Southern / Soul Food Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Greens and Gravy,33.743103999999995,-84.437842,New American Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Sl***y Vegan,33.744971,-84.439568,Vegetarian / Vegan Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Healthful Essence,33.73738076364708,-84.41646271933033,Vegetarian / Vegan Restaurant
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Mr. Everything,33.75473934775971,-84.41613145969792,Sandwich Place
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Krispy Kreme Doughnuts,33.7379082,-84.4159492,Donut Shop
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,600 Degrees Pizza,33.73912493864348,-84.41736145327441,Pizza Place
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Wren's Nest House Museum,33.73774927735779,-84.4223321416356,Museum
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,A-Town Wings,33.77025578890748,-84.44409771652073,Wings Joint
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Marquette Club,33.7630563515035,-84.4160086081655,Gay Bar
Atlanta BeltLine Corridor under I-20,33.751340932672306,-84.43652455047769,Popeyes Louisiana Kitchen,33.740866149845665,-84.41445201627046,Fried Chicken Joint
