RegionID,SizeRank,RegionName,RegionType,StateName,State,City,Metro,CountyName,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020
71027,4908,30307,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,354968,357641,361543,365377,369119,372691,377192,381729,387507,393505,395240,397468,399440,403488,405324,406211,407620,409122,411098,413428,415072,416699,419296,420804,421225,420549,423459,426920,431809,436336,441296,444315,446796,449321,453413,456450,459391,462869,465266,467374,466768,467530,464187,464301,465322,468559,470323,473605,476496,479095,480082,483636,487946,492247,499369,505620,511771,516964,522485,526130,530521,533041,538124,540788,544846,544274,543660,543099,544551,545039,544418,544723,544395,545564,545796,546118,545292,547423,548771,549591,548568,548116,548451,548512,548605
71013,5112,30291,Zip,GA,GA,Union City,Atlanta-Sandy Springs-Roswell,Fulton County,67631,69307,70400,71534,72675,74243,76216,78216,80498,81909,83290,83980,84903,85779,87035,88022,88875,89390,90008,90800,91126,91763,92187,93099,93444,93784,94423,95479,96358,97083,97840,98480,99098,99418,100018,100750,102082,103448,104254,104561,104993,105768,106215,107011,107996,109160,110194,111062,111939,112279,112870,114003,115354,116668,118134,119377,120600,121730,123011,124095,124800,126062,127427,128911,129857,130727,131789,133202,134516,135492,135954,136447,137329,138283,139326,139951,140922,141968,142936,143737,144653,145944,147667,149606,151501
70796,5968,30009,Zip,GA,GA,Alpharetta,Atlanta-Sandy Springs-Roswell,Fulton County,256464,258581,261407,263636,266903,270075,273883,277168,280265,283516,286828,290398,291800,292634,292817,294139,295750,297801,299320,301537,302997,305002,305774,306732,308383,310936,313830,316118,317143,317718,318894,319541,321526,321664,323017,324159,326814,329800,332310,333937,335575,337361,338367,340806,343010,347072,349991,353243,355430,356282,356881,358312,360950,363842,367736,370573,373069,374780,376507,378016,379234,381590,384363,387599,389671,391553,393123,395049,396555,396829,399037,399952,401879,402032,403423,403877,404617,405354,405984,406573,407655,409714,410448,412183,413467
71034,6502,30314,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,49923,50490,50719,51028,50960,51222,52330,53331,54093,54431,54974,55233,54873,54260,54084,54559,55262,55448,54604,53678,52757,52289,51680,51563,52202,53021,53694,54012,54855,55510,55964,56631,58062,59720,61329,62695,64169,65108,65624,66403,66914,68028,68822,70147,71054,72373,73582,75163,76728,78827,81211,83393,85058,86485,88653,90981,94020,96612,98806,100056,101970,104987,109017,113389,118415,123583,128607,133007,136541,139473,142118,144587,147881,150783,153695,155216,156924,158779,160607,162895,165700,169397,173856,179291,183600
71070,7383,30354,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,60881,61271,61566,61963,62553,63646,65056,66334,66769,66862,67188,68704,70061,71229,72011,72960,73826,73975,73241,72258,71855,72373,72981,73093,73344,73764,75081,75924,76938,77916,80124,81575,82646,82219,82386,82311,82757,83405,83930,84806,85025,85494,85086,85893,86928,88913,90430,92359,93630,94536,94566,94623,95101,96007,97356,98868,101037,103319,105439,106900,108840,111424,114865,118472,122140,125649,128896,131814,134202,136086,137515,138619,140851,142992,145648,147191,148650,149919,151358,152600,153753,154973,156767,159086,160190
71037,7610,30317,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,212291,216165,221180,224815,228250,231354,235533,238998,242558,245207,249151,253569,258754,262479,264428,266303,267897,269259,270686,273817,276569,279940,282993,285794,286525,286246,289343,293566,299246,303874,308850,311538,312766,314464,316016,317231,317610,321460,323956,326618,326501,328684,327483,328479,330751,333984,335338,336989,340231,343782,346288,349476,354419,357319,362670,367266,373872,379905,386592,391305,396091,397462,401006,402386,405754,407977,411069,414159,416693,418050,418920,420363,420692,422468,423477,425751,425864,427305,427341,427212,425983,425603,425515,425684,426044
71045,7961,30326,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,268631,270915,273583,276710,281255,285171,288148,290226,292553,296674,300549,304838,306691,308604,310084,311916,313569,314944,316669,318110,318902,320337,321376,322666,324896,327340,330223,332289,333370,334773,336902,338222,339959,338432,338721,338708,340683,342685,344019,344063,343517,342890,340097,340033,340264,344704,346896,348752,349318,349050,348933,349110,350078,351483,354741,357798,359481,359933,361219,364090,365203,365522,365274,367426,369203,370067,370507,369994,370445,368264,366977,363614,361706,360020,359522,357615,355798,354586,353435,352740,352134,353489,354466,356552,358893
71055,8357,30337,Zip,GA,GA,College Park,Atlanta-Sandy Springs-Roswell,Fulton County,105059,105782,104495,104387,103768,103908,104590,106367,107360,108430,109638,111456,112682,114065,115306,117362,120142,123735,126494,127654,128020,128345,128928,128863,129334,130218,132443,133296,133387,132735,133061,134199,135965,136335,136697,137887,139471,140660,140696,140652,141181,141085,139725,139025,139174,142449,145526,147878,148808,148672,149576,150802,152084,153538,155824,158024,159646,160242,160108,160780,162291,165372,168401,171753,174817,177666,181334,184671,187852,188965,189153,188109,187745,188202,188550,188033,187783,188057,187772,187765,188175,190215,193635,197946,201898
70995,9177,30268,Zip,GA,GA,Palmetto,Atlanta-Sandy Springs-Roswell,Fulton County,103790,104506,105466,107393,110176,112215,112886,112322,112454,113537,115159,116425,116653,116537,117116,117393,117233,116556,117778,119965,121690,122535,122706,123545,124640,125760,126564,127809,129151,130970,132063,132870,133604,133331,133738,133931,135147,136721,138488,139382,139694,139941,140539,141657,142800,144948,146498,147996,148869,148913,148736,149257,150543,152250,153497,154307,155317,156813,158389,159931,161218,163163,164340,165224,165983,166683,167837,169346,171416,172297,172650,172563,173382,174526,176498,178141,179612,180919,182093,183139,183657,184700,186288,188315,189892
71033,12097,30313,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,145527,147888,151043,153740,155670,156913,160585,164303,168090,170091,171806,173551,175386,176540,178807,181167,184738,187074,188085,188119,188484,190756,192195,193552,194319,196549,198393,200098,200309,201245,203251,206072,208907,209642,211362,213142,215667,216939,216968,216903,217555,218879,218882,220234,221507,224826,226758,229180,231389,233484,236168,238793,241820,244405,247633,249992,251997,253449,255294,256772,258609,260537,263125,265809,267472,268872,270579,272793,274610,275286,276270,277209,277876,278725,279254,279379,279893,280608,280941,280888,281260,282325,283162,284021,284853
71079,12482,30363,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,174956,178273,181668,185815,190031,193956,197977,201760,205260,209051,213395,217120,219354,219989,221187,221658,222781,223350,224107,224571,225834,227064,227818,228336,229617,231897,233952,236106,237220,238657,240346,241164,242186,242256,243617,244762,246891,248803,250196,250838,251249,252135,252301,254536,255759,258297,259604,261379,262872,263208,264315,265572,267584,268997,270846,272206,273551,275092,277793,280943,282532,283905,285126,288039,289903,291569,293150,294968,296812,296573,295010,292566,290652,289737,288716,286782,285375,284428,283665,282715,282129,282875,284417,286500,289238
71023,16830,30303,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,122906,123428,124640,125419,126365,125995,125064,123377,122023,123009,124401,126282,125814,125661,125838,126596,126748,127666,128338,128777,129121,129016,129732,130371,132016,133516,135193,136514,137992,138784,140489,141506,143621,144722,145713,145871,146934,148799,150065,151160,152181,153111,152996,153856,155129,157926,159737,163570,166547,168807,168892,168441,168618,170274,174194,179368,182468,184833,188378,190245,192616,192160,195330,198152,200539,202750,204273,205735,207393,208555,208030,206651,204012,204461,204130,204714,205371,205617,205677,205202,205915,207423,210215,214413,219973
71054,19149,30336,Zip,GA,GA,Atlanta,Atlanta-Sandy Springs-Roswell,Fulton County,126116,126034,125456,126252,127839,129626,130201,131349,132342,133197,132139,130534,128924,128812,129420,129881,130100,131216,132198,132928,133142,134132,135412,137340,140687,144394,147940,149932,151404,152288,152765,152037,150975,148452,147629,146835,146775,146608,145434,145731,144787,143369,140940,140171,139725,141270,141910,143707,143956,143972,144501,144933,146248,147587,149394,150265,151593,152868,154658,155792,156958,157485,158079,158731,159602,160591,162059,163948,165723,166213,166770,166925,167116,167655,168249,169267,170034,171002,171796,172650,173543,175309,177168,179700,182838
